text,news_link,label,outlet,topic,type,label_opinion,biased_words,uuid,text_length
"The curfews, which have never before occurred on an Election Day in recent times, were a response to looting that occurred after generally peaceful protests against police violence and racism. However, the curfews also come in a climate where the Republican Party, led by President Trump, has been repeatedly making false claims that voting by mail is rife with fraud",https://www.alternet.org/2020/06/we-just-got-a-sneak-peek-of-what-the-november-election-could-look-like/,1,Alternet,elections-2020,1,Entirely factual,"['false', 'claims']",2uYKw5KpXasJWH65WCjSu4,60
"Rather than help be a part of the solution, Trump is intentionally exacerbating the tensions–not only because he himself is a racist whose politics of authoritarian white grievance align with the same forces driving police violence itself, but because he is desperate and in grave political peril.",https://www.alternet.org/2020/06/trump-thought-brutalizing-protesters-would-save-him-he-was-wrong/,1,Alternet,elections-2020,1,Expresses writer’s opinion,['racist'],SRGvrzY9PkvtHESdts35Rw,47
The Times reported that Bill Gates had met in with Epstein multiple times ,https://www.reuters.com/article/uk-factcheck-bill-gates-epstein-island/false-claim-bill-gates-traveled-to-epsteins-island-multiple-times-idUSKBN22R2C6,0,Reuters,#metoo,2,Entirely factual,[],A4cxdS37FXciRVQCWn2XEd,13
"The Trump administration is proposing tariffs on up to $2.4 billion worth of French imports — including Roquefort cheese, handbags, lipstick and sparkling wine — in retaliation for France’s tax on American tech giants like Google, Amazon and Facebook.",,0,Breitbart,international-politics-and-world-news,0,Entirely factual,[],GSrpqAY2pikLheBivKgnyF,39
"Rep. Al Green (D-TX) at a hearing on Wednesday perpetuated the hoax that President Trump called white nationalists at a rally in Charlottesville, Virginia in 2017 “very fine people.”",https://www.breitbart.com/politics/2019/09/18/al-green-perpetuates-fine-people-hoax-in-hearing-on-white-nationalism/,1,Breitbart,white-nationalism,0,Somewhat factual but also opinionated,['hoax'],mgPeeKAZxQQpZNc86Hua5B,29
"The British government will attempt to mitigate the economic, social, and business impacts of the coronavirus outbreak with a combination of tax cuts and new spending, the chancellor announced Wednesday, the first of the new Boris Johnson government.",http://feedproxy.google.com/~r/breitbart/~3/EIQ8ZfFJ9oM/,0,Breitbart,taxes,0,Entirely factual,[],Ms7hRuxxvuTY9ACQhZwoKZ,38
"As Congress begins debating the Equality Act, the Heritage Foundation warns that if the bill becomes law it will prove the death knell for women’s sports.",https://www.breitbart.com/sports/2019/05/16/duke-professor-the-equalityact-will-be-the-end-of-girls-and-womens-only-sports/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+breitbart+%28Breitbart+News%29,1,Breitbart,sport,0,Somewhat factual but also opinionated,"['death', 'knell']",3qTHpx5kibEreFCBAuVtFR,26
Pompeo appeared hopelessly lost when WSMV’s Nancy Amon was far better prepared for an interview than he was.,https://www.msnbc.com/rachel-maddow-show/pompeo-confronts-simple-questions-he-just-can-t-seem-answer-n1123696,1,MSNBC,white-nationalism,1,Expresses writer’s opinion,['hopelessly'],uH7aMt2uJUDK7X4YDSLZS8,18
"While the workaday majority of Americans continue to be mired in our low-wage economy, the precious few at the tippy top soared out of sight in 2019.",https://www.alternet.org/2020/01/here-are-the-dirty-secrets-of-how-the-rich-become-the-uber-rich/,1,Alternet,middle-class,1,Somewhat factual but also opinionated,['tippy'],8dkFMZ8Jd7D9QnDVvhFK8t,27
Several medical and advocacy groups have insisted abortion services should be considered as essential health care during the Chinese coronavirus pandemic and not subject to delays or a reduction of availability that will affect other health services.,https://www.breitbart.com/health/2020/03/20/lobby-insists-abortions-must-continue-unabated-during-coronavirus-crisis/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+breitbart+%28Breitbart+News%29,1,Breitbart,abortion,0,Somewhat factual but also opinionated,['Chinese'],hVK42DzNH4j3AEeAbEFSN6,37
"Former Secretary of the Navy Richard V. Spencer on Friday endorsed Democratic presidential candidate Michael Bloomberg, making him the first high-level former Trump administration official to back a Democratic hopeful in the 2020 election.",https://www.reuters.com/article/us-usa-election-bloomberg-spencer/former-trump-navy-secretary-backs-bloomberg-for-president-idUSKBN2011QO,0,Reuters,trump-presidency,2,Entirely factual,[],U8hp4jj78Fp28vXL3QRJGz,34
"First Joe Biden said he still supported the Hyde Amendment, which prohibits taxpayer funding of most abortions, , then changed his position one day later, after tremendous political pressure from farther-left Democrats.",https://thefederalist.com/2019/06/13/will-democrats-shut-government-force-taxpayer-funding-abortions/#.XQIyT3A1q5E.twitter,1,Federalist,abortion,0,Entirely factual,[],uYyFpf5TGnPoUPg54RzyJD,32
"More recently, a case this year was won against the Syrian regime of Bashar al-Assad, regarding the president’s direct involvement in the targeted killing of American journalist Marie Colvin amid the vicious civil war and dissident crackdown in 2012.",https://www.foxnews.com/us/war-criminals-among-us-inside-the-quiet-effort-to-prosecute-and-deport-violators-disguised-as-refugees,0,Fox News,international-politics-and-world-news,0,Somewhat factual but also opinionated,[],pwjRKVZUx6LASoQwazNKij,39
Germany tries to stop Trump from luring away firm working on coronavirus vaccine.,https://www.nbcnews.com/news/us-news/germany-tries-stop-trump-luring-away-firm-working-coronavirus-vaccine-n1159426,0,MSNBC,coronavirus,1,Somewhat factual but also opinionated,['luring'],kCTJmJR22kXaLGJTG8qgRc,13
