Original Text,Debiased Text,roberta_debiased_prediction,roberta_debiased_label,original_sentiment,original_sentiment_score,debiased_sentiment,debiased_sentiment_score,original_bias_label,original_bias_score,debiased_bias_label,debiased_bias_score
"Indeed, that original NYT report suggested that the management at Trump’s club in New Jersey was well aware of the fact that it employed undocumented immigrants, and it deliberately took steps to obscure the fact that it broke the law – repeatedly, over the course of several years.","Indeed, that original NYT report suggested that  management at Trump’s club  New Jersey was well aware   fact that it employed undocumented immigrants, and it  took steps    fact that it broke  law – repeatedly, over   the several years.",1,left,negative,0.5998043,negative,0.5142635,Biased,0.6168539524078369,Biased,0.6324862241744995
"How we treat people at or inside our border certainly deserves attention, but we cannot ignore that many people come to the United States in the first place because our foreign policies—by both Democrats and Republicans—force them to leave their homes in Latin America and elsewhere.","How we treat people at or inside our border certainly deserves attention, but we cannot ignore that many people come   United States   first place because our foreign policies—by both Democrats and Republicans—force them    homes in Latin America and elsewhere.",0,right,neutral,0.4779251,neutral,0.5937136,Non-biased,0.8638049960136414,Non-biased,0.8403812050819397
The battle of Portland is just plain crazy — but what else would you expect in Donald Trump’s dystopian America?,The battle  Portland is just plain  — but what else would you expect from Donald Trump’s dystopian America?,1,left,negative,0.8253571,negative,0.69798577,Biased,0.977656900882721,Biased,0.9887146353721619
"As a perennial litigant, Trump weaponized the law to devastate perceived enemies, to consolidate power, to frustrate opposing parties, as former federal prosecutor and acclaimed author James D. Zirin illuminates in his compelling and disturbing history of Trump’s use and abuse of the law, Plaintiff in Chief: A Portrait of Trump in 3,500 Lawsuits (All Points Books).","As   litigant,    law  devastate perceived enemies,  consolidate power,  frustrate opposing parties, as  federal prosecutor and acclaimed author James D. Zirin illuminates   compelling and disturbing history  ’s use and abuse   law, Plaintiff  Chief: A Portrait   of 3,500 Lawsuits (All Points Books).",1,left,negative,0.6732049,negative,0.56933004,Biased,0.9452056884765625,Biased,0.9641632437705994
"The president insisted his Department of Health and Human Services was running the health care exchange well, and better than the Obama administration had, but claimed the coverage was still bad.","The president insisted  Department  Health and Human Services was running  health care exchange well, and better than  Obama administration had, but  the coverage was still bad.",1,left,negative,0.5166868,negative,0.57587224,Biased,0.544243335723877,Biased,0.6256569027900696
The anti-Trump Republican group took to Twitter with highlights of the president's so-called healthcare plan.,The anti-Trump Republican group took  Twitter  highlights   president's new healthcare plan.,1,left,neutral,0.49477777,neutral,0.6255489,Non-biased,0.6866676211357117,Non-biased,0.6266070008277893
"But the skeptics have taken on a brasher, bolder tone in recent months. ","But  skeptics have    brasher, bolder tone in recent months. ",1,left,neutral,0.78935474,neutral,0.768264,Biased,0.9929459691047668,Biased,0.9913421273231506
Fox News has gone so deep into white nationalism that Donald Trump now believes it’s how he’ll win in 2020,Fox News  gone  deep into   that Donald  now  it’s how he’ll win in 2020,1,left,negative,0.47296038,neutral,0.56523275,Biased,0.5051839351654053,Non-biased,0.5900838375091553
The specter of “abortion regret” has been used by lawmakers and judges alike to impose or uphold rules making it harder for people to get abortions.,The   “abortion regret”  been used by lawmakers and judges alike  impose or uphold rules making it harder  people to get abortions.,1,left,negative,0.6860038,negative,0.675971,Non-biased,0.7218416333198547,Non-biased,0.5379701256752014
"Since then, CTE has expanded from football to raise red flags around a myriad of other sports including soccer, rugby, horse racing, bull-riding, skiing/snowboarding, hockey, and wrestling.","Since then, CTE  expanded  football  raise  flags around   many other sports including soccer, rugby, horse racing, bull-riding, skiing/snowboarding, hockey, and wrestling.",1,left,neutral,0.6247686,neutral,0.6974579,Non-biased,0.964651882648468,Non-biased,0.9551598429679871
"During a rare public address last week, the former president appeared to challenge Trumpism while urging U.S. voters to resist detractors of American democracy","During  rare public address last week,   president appeared  challenge  while urging U.S. voters  resist detractors of American democracy",1,left,neutral,0.6950935,neutral,0.76181465,Non-biased,0.8243870139122009,Non-biased,0.7803424000740051
"The Jerusalem Post reports: Nearly 50% of Palestinians living in Gaza believe the best means of ending the occupation is through armed conflict, according to a report released Monday by the Palestinian Center for Policy and Survey Research (PSR).","The Jerusalem Post reports: Nearly 50%  Palestinians   Gaza believe  best means  ending  occupation is   conflict, according   report released Monday by  Palestinian Center for Policy and Survey Research (PSR).",0,right,neutral,0.79405963,neutral,0.78803337,Non-biased,0.7459226846694946,Non-biased,0.7407596707344055
President Trump was “impeached forever” as Nancy Pelosi so childishly put it.,President  was “impeached forever” as Nancy Pelosi had childishly put it.,0,right,negative,0.6865141,negative,0.590749,Biased,0.9701083898544312,Biased,0.7363826632499695
"It's not clear at how or why Mary Trump could have broken the law, as the president claimed, when she turned over records of her family's taxes in her possession to the New York Times.","It's  clear at how or why Mary  could have broken  law, as  president claimed, when she turned over records  her family's taxes  her possession  to New York Times.",1,left,negative,0.58747405,negative,0.51710516,Non-biased,0.5369465351104736,Non-biased,0.7728917002677917
"The night before the rant, the Jesus Is King rapper continued his crusade against abortion, gun control, and pornography.","The night before  rant,  Jesus Is King rapper continued   against abortion, birth control, and pornography.",0,right,neutral,0.7897993,neutral,0.77101254,Biased,0.8903104066848755,Biased,0.6962378621101379
