text,news_link,label,outlet,topic,type,label_opinion,biased_words,uuid,debiased_text,roberta_debiased_prediction,roberta_debiased_label,original_sentiment,original_sentiment_score,debiased_sentiment,debiased_sentiment_score,original_bias_label,original_bias_score,debiased_bias_label,debiased_bias_score
"Indeed, that original NYT report suggested that the management at Trump’s club in New Jersey was well aware of the fact that it employed undocumented immigrants, and it deliberately took steps to obscure the fact that it broke the law – repeatedly, over the course of several years.",http://www.msnbc.com/rachel-maddow-show/trumps-business-purges-many-the-undocumented-immigrants-it-hired?cid=eml_mra_20190205,1,MSNBC,immigration,1,Somewhat factual but also opinionated,[],NHcSfAcYxpi6sKDf3gYQuE,The original NYT report suggests that the management at Trump's club in NJ knew they were employing illegal workers but did nothing about it for many years.,1,left,negative,0.5998043,negative,0.6637836,Biased,0.6168539524078369,Non-biased,0.6000756025314331
"How we treat people at or inside our border certainly deserves attention, but we cannot ignore that many people come to the United States in the first place because our foreign policies—by both Democrats and Republicans—force them to leave their homes in Latin America and elsewhere.",https://www.alternet.org/2020/02/how-u-s-foreign-policy-triggers-crisis-and-immigration/,0,Alternet,immigration,1,Somewhat factual but also opinionated,[],6pMhG6BGGmpukBjLYvS7aj,"The way we treat immigrants is a serious issue, but it's also important not to forget how U.S. policy has forced millions of refugees from Central America into Mexico.",1,left,neutral,0.4779251,negative,0.6395686,Non-biased,0.8638049960136414,Biased,0.9753470420837402
The battle of Portland is just plain crazy — but what else would you expect in Donald Trump’s dystopian America?,https://www.alternet.org/2020/07/the-battle-of-portland-is-just-plain-crazy-but-what-else-would-you-expect-in-donald-trumps-dystopian-america/,1,Alternet,black lives matter,1,Expresses writer’s opinion,"['dystopian', 'crazy']",ak4GUjEPQX4LCZc64iDEVj,"The battle of Portland is a fight between protesters and federal agents that has been going on for several days now. It's unclear who started it or why they are fighting each other; however, both sides seem determined not to back down until one side wins outright victory over another by force if necessary (or at least until someone gets hurt).",0,right,negative,0.8253571,neutral,0.5293953,Biased,0.977656900882721,Biased,0.9211946725845337
"As a perennial litigant, Trump weaponized the law to devastate perceived enemies, to consolidate power, to frustrate opposing parties, as former federal prosecutor and acclaimed author James D. Zirin illuminates in his compelling and disturbing history of Trump’s use and abuse of the law, Plaintiff in Chief: A Portrait of Trump in 3,500 Lawsuits (All Points Books).",https://www.alternet.org/2020/04/sadism-crime-and-a-love-of-lies-what-3500-lawsuits-reveal-about-trumps-true-nature/,1,Alternet,gun control,1,Somewhat factual but also opinionated,"['weaponized', 'abuse', 'disturbing']",JkkkMzPuZpQY2fHJhpuomg,As an ag,0,right,negative,0.6732049,neutral,0.73262215,Biased,0.9452056884765625,Non-biased,0.9096787571907043
"The president insisted his Department of Health and Human Services was running the health care exchange well, and better than the Obama administration had, but claimed the coverage was still bad.",https://feeds.feedblitz.com/~/636639870/0/alternet/,1,Alternet,universal health care,1,Entirely factual,['claimed'],PD4fzPSyAWgHPwKNGHJHQL,"The President said that he believed his department's implementation of the Affordable Care Act was superior to the previous administration's efforts in 2013. However, he also stated that the quality of service provided by this program remained poor despite these improvements.",0,right,negative,0.5166868,neutral,0.5077037,Biased,0.544243335723877,Non-biased,0.5925353765487671
The anti-Trump Republican group took to Twitter with highlights of the president's so-called healthcare plan.,https://feeds.feedblitz.com/~/637445774/0/alternet/,1,Alternet,universal health care,1,Somewhat factual but also opinionated,['so-called'],3ndUmK7rLVg2ygtSfqPJRS,An independent Republican organization posted on social media a summary of President Trump’s proposed changes in U.S. health care policy.,2,center,neutral,0.49477777,neutral,0.899838,Non-biased,0.6866676211357117,Non-biased,0.7918989062309265
"But the skeptics have taken on a brasher, bolder tone in recent months. ",https://www.nbcnews.com/health/health-news/vaccine-skeptic-message-gets-stronger-bolder-n803791,1,MSNBC,vaccines,1,Expresses writer’s opinion,"['brasher', 'bolder']",yT3MQfTmFzw3quKyY48Bmk,The skepticism of some has become more bold over time.,1,left,neutral,0.78935474,neutral,0.67177105,Biased,0.9929459691047668,Non-biased,0.6460402011871338
Fox News has gone so deep into white nationalism that Donald Trump now believes it’s how he’ll win in 2020,https://www.alternet.org/2019/07/fox-news-has-gone-so-deep-into-white-nationalism-that-donald-trump-now-believes-its-how-hell-win-in-2020/,1,Alternet,white-nationalism,1,Expresses writer’s opinion,"['white', 'nationalism']",8xogFhLFjPGC23Da8XDrFe,The Fox news channel is a conservative media outlet which has been accused of being biased towards republican candidates for president. In recent years they've become more extreme with their coverage of politics and are seen as having an increasingly negative impact on society by some people due to this change in direction from what was once considered mainstream journalistic standards before then becoming known,0,right,negative,0.47296038,negative,0.8521857,Biased,0.5051839351654053,Non-biased,0.5102103352546692
The specter of “abortion regret” has been used by lawmakers and judges alike to impose or uphold rules making it harder for people to get abortions.,https://www.alternet.org/2020/01/debunking-the-abortion-regret-narrative-data-shows-women-99-percent-of-women-feel-relief-over-their-decision/,1,Alternet,abortion,1,Somewhat factual but also opinionated,[],aHoMapZgHCq3fPasTaEtMU,"There is a belief that many women who receive an abortion will later feel ""regret."" This idea was used as justification in some laws restricting access to abortion services.",1,left,negative,0.6860038,negative,0.56787354,Non-biased,0.7218416333198547,Biased,0.628314197063446
"Since then, CTE has expanded from football to raise red flags around a myriad of other sports including soccer, rugby, horse racing, bull-riding, skiing/snowboarding, hockey, and wrestling.",https://www.foxnews.com/health/hype-or-horror-the-risk-of-cte-brain-disease-divides-football-and-medical-communities?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A%20foxnews%2Fhealth%20%28Internal%20-%20Health%20-%20Text%29,0,Fox News,sport,0,Entirely factual,[],W4fsCTNrfKHhyCHMeKTC8Z,CTE is an expanding concern in many different sports.,0,right,neutral,0.6247686,neutral,0.74571455,Non-biased,0.964651882648468,Biased,0.8839656710624695
"During a rare public address last week, the former president appeared to challenge Trumpism while urging U.S. voters to resist detractors of American democracy",https://www.politico.com/story/2017/10/23/bannon-bush-mccain-speeches-pablum-244083,1,Breitbart,trump-presidency,0,Somewhat factual but also opinionated,['Trumpism'],ne2BuYs69rcmyKt4xkxbTz,The former President made an unusual speech in which he criticized Donald Trump's supporters for undermining US Democracy,0,right,neutral,0.6950935,negative,0.49353853,Non-biased,0.8243870139122009,Biased,0.7551525235176086
"The Jerusalem Post reports: Nearly 50% of Palestinians living in Gaza believe the best means of ending the occupation is through armed conflict, according to a report released Monday by the Palestinian Center for Policy and Survey Research (PSR).",https://www.breitbart.com/middle-east/2019/07/09/survey-nearly-50-of-gazans-support-armed-conflict/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+breitbart+%28Breitbart+News%29,0,Breitbart,international-politics-and-world-news,0,Entirely factual,[],WZpESRuKuxjGWX4iFyPzNt,The [Jerusalem] Post reports that nearly half of all Palestinians who live in Gaza believe that the best way to end their country's military occupation would be with violence against Israelis.,0,right,neutral,0.79405963,negative,0.5224624,Non-biased,0.7459226846694946,Non-biased,0.7238853573799133
President Trump was “impeached forever” as Nancy Pelosi so childishly put it.,http://feedproxy.google.com/~r/breitbart/~3/oHB3JpTmros/,1,Breitbart,taxes,0,Somewhat factual but also opinionated,['childishly'],WWS8f6gHfacAKTMg6SoXEp,The impeachment of President Donald J. Trump is a historical event that will not define him or his legacy in America’s history books.,1,left,negative,0.6865141,negative,0.70348144,Biased,0.9701083898544312,Non-biased,0.6216526627540588
"It's not clear at how or why Mary Trump could have broken the law, as the president claimed, when she turned over records of her family's taxes in her possession to the New York Times.",https://feeds.feedblitz.com/~/630695692/0/alternet_all~Trump-lets-loose-a-fiery-outburst-at-his-niece-Mary-Trump-in-a-Twitter-tirade/,1,Alternet,taxes,1,Entirely factual,['claimed'],cC6RszRoaYkPfdUnRzvtpx,The question is unclear about whether it was legal for Mary Trump to turn over documents with information on her father’s finances to a newspaper.,2,center,negative,0.58747405,neutral,0.6028322,Non-biased,0.5369465351104736,Non-biased,0.5856372117996216
"The night before the rant, the Jesus Is King rapper continued his crusade against abortion, gun control, and pornography.",http://feedproxy.google.com/~r/breitbart/~3/r1zAotDleBY/,1,Breitbart,gun control,0,Expresses writer’s opinion,['crusade'],RyUrEdk5oPFPem2QS6nxup,"The night before the rant, Kanye West continued his crusade against abortion, gun control, and pornography.",0,right,neutral,0.7897993,neutral,0.5455306,Biased,0.8903104066848755,Biased,0.7038301825523376
"Jurek, a Sanders staffer in Iowa, was caught arguing that gulags were beneficial for the Soviet Union and suggesting they could be used to re-educate both Trump voters and billionaires.",https://www.breitbart.com/2020-election/2020/01/21/project-veritas-bernie-sanders-campaigner-says-guillotine-the-rich/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+breitbart+%28Breitbart+News%29,1,Breitbart,middle-class,0,Entirely factual,"['was', 'caught']",fatHtn3SD57wxBWTyBR4FM,"A staff member of Bernie Sanders' campaign in Iowa has been criticized after making comments about Gulag camps being useful for the former USSR and how it might help with ""re-education"" of people who voted for Donald Trump or are rich.",0,right,neutral,0.5682787,negative,0.52548236,Biased,0.563772976398468,Non-biased,0.5855051875114441
"Also, Biden told a New Hampshire audience in February that PLCAA gave gun makers “a loophole that does not allow them to be sued for the carnage they are creating,” Breitbart News reported.",http://feedproxy.google.com/~r/breitbart/~3/uAUf57Wb9sk/,0,Breitbart,gun control,0,Entirely factual,[],dSNhmcL8Bs9yiTnPn8QqrX,"The Biden administration has been criticized by some groups as being too biased against guns. In 2019, President Trump signed an executive order directing federal agencies to review their regulations on firearms and ammunition under the Obama Administration",0,right,neutral,0.4985376,neutral,0.6350914,Biased,0.9587647914886475,Non-biased,0.6888534426689148
"But the new restrictions on H-2A visas could leave West Coast farmers in the lurch just as they are preparing to harvest lettuce, cabbage, broccoli, celery and strawberries, said Dave Puglia, president and CEO of the Western Growers Association.",https://www.nbcnews.com/news/us-news/u-s-restricts-visas-farmworkers-raising-concerns-about-food-supply-n1164216?cid=public-rss_20200319,0,MSNBC,immigration,1,Entirely factual,[],sViwsefXRe8VfgRFMkVV5N,The new restrictions on H-2A visas may affect California's agriculture industry at a time when it is getting ready for the seasonal produce harvests.,0,right,negative,0.5398895,neutral,0.50498796,Non-biased,0.9132885932922363,Non-biased,0.7541522979736328
"But while they have claimed that Obamacare is a burden for the country, there's a good reason why they haven't had enough political will to tear it down through Congress.",https://www.alternet.org/2020/09/paul-krugman-explains-how-the-gop-has-been-wrong-every-step-of-the-way-on-obamacare/,1,Alternet,universal health care,1,Somewhat factual but also opinionated,['claimed'],xmJaNQwj6DdFX4os4rLHm2,"While Republicans claim that ObamaCare has been bad for America, their lack of political will in Congress shows otherwise.",0,right,negative,0.6373061,negative,0.85712814,Non-biased,0.5940069556236267,Biased,0.9571990370750427
"Now Modi has made international headlines for yet another similarity: He’s constructing a massive wall … but unlike Trump’s goal of keeping immigrants out, Modi’s wall was built to hide the country’s poverty from the gold-plated American president.",https://www.alternet.org/2020/02/india-builds-a-wall-to-hide-its-poor-people-days-before-trumps-visit/,1,Alternet,international-politics-and-world-news,1,No agreement,['gold-plated'],n4zYh9gPRDk7rQ4XiBGpMM,"Modi is making news internationally by building walls that are different than those being constructed in America. In India's case, they were not intended to keep people out; instead, they were meant to conceal the nation",0,right,negative,0.48526803,negative,0.53648067,Biased,0.9836310148239136,Biased,0.9673059582710266
"In Heller, the Supreme Court struck down a ban on handgun possession in the nation’s capital, ruling for the first time that the Second Amendment protects an individual right to gun ownership.",https://www.alternet.org/2020/04/the-supreme-court-is-poised-to-extend-gun-rights-at-the-worst-possible-time/,0,Alternet,gun control,1,Entirely factual,[],eGBxPDFQVVgQSNZVx8Pft2,The U.S. Supreme Court ruled in Heller v District of Columbia (2008) that the second amendment provides individuals with the constitutional right to own guns.,2,center,neutral,0.8385837,neutral,0.91491455,Non-biased,0.5752246379852295,Non-biased,0.8514295220375061
